@RELATION	sentence_emotions

@ATTRIBUTE	sentence string
@ATTRIBUTE	emosi  { disgust , fear , happy , sad , surprise , angry }

@DATA
' I officially hate Kevin. He makes me want to hurl. I didn \' t think anyone could be that pathetic. He \' s running on revenge and materialism. *shudder* Could he  be  any more revolting?  and...  Awww Boy Meets World made me cry !  In the first season !  I love that show to uber little bitty bits !  !  !  ! ' , disgust
' Today was a mighty productive day... I learned two things...  1)I spend way too much money on the day that I get my pay cheque.  2)I am fat.  Shit.  Night. ' , disgust
' A subsidary of the company that Dick Cheney used to run  was awarded a no-bid fire-fighting contract  by the US Government that Dick Cheney is helping to run.  Excuse me while I go vomit.  Asshats. (Because Ozy enjoyed it the first time) ' , disgust
' i live in the middle of the city. why the hell are there skunks wandering around the neighborhood? and why do they have to make my room smell? stupid el dorado park. ' , disgust
' Terri Schiavo is dead, and  hospice demonstrators seem to know what \' s in God \' s heart .     \' It grieves my heart to know that God \' s heart is grieving. God \' s desire \' s never to have death happen unjustly, \'  Bashta said.  The morally and religiously righteous make me nauseous. ' , disgust
' File under Mary \' s First Photoshop Attempt:       Because, you know, it \' s not the over-farming that \' s the problem. It \' s the natural predators. ' , disgust
' Sara, don \' t read the message boards on imdb.com.  Not only are they full of annoying people but if you don \' t read them, you won \' t be told about things like potential remakes of  The Wicker Man  and thus can safeliy ignore their existance until they \' re actually in theaters.    Especially if said remake includes potentially moving the action to Maine.  What the  frell ? ' , disgust
' Five minute role... or tickets to a Sondheim show?  Five minute role, or Sondheim show... boy, I \' ll have to think about this one for awhile ' , disgust
' Fuck them.  No, on second thought The problem is that I do fuck them  This is getting absurd My worth will not be minimized I \' m done ' , disgust
' Oh my god I am so goddamn lazy.  So here I am, delaying again. But I swear, upon Nixon \' s cold dead corpse, that I will update before Thanksgiving.  Oh, and HALO 2 !  !  !  !  !  !  !  !  !  !  !  !  !  ! ' , disgust
' why do i keep fucking up? i hate myself so much. obviously, that is part of the problem. i \' m going to need to get a kitten or else i may end up killing myself because i \' m not fit for human social interaction. ' , disgust
' Superficial bullshit.  That \' s all it is people.  Don \' t get dragged in by the shiny objects- it \' s all an illusion.  But if that \' s your thing, who am I to argue.  I \' ll just be over here in the corner watching, laughing, and occasionaly puking in disgust. ' , disgust
' it \' s time for another fast.  yep, that \' s right... i ate like a disgusting pig yesterday AND today, so startingggggggggggg NOW.  water, juice, maybe one yogurt (before my workout)... 24 hours.  i \' m disgusting.  i disgust myself. ' , disgust
' I \' m in love with a dream I had as a kid I wait up the street until you show That dream it came true But you never do No, you never did As far as I know                --Paul Westerberg ' , disgust
' Has anyone seen that really disturbing Skittles commercial? Good god, it \' s disgusting. Ugly, freaky looking and talking sheep. Echhh. Good thing I \' m not a fan of Skittles, cuz I \' m not going to be buying any in the near future. ' , disgust
' I finally in the last month set up an Ebay account,  and just now set up a paypay account.  Damn you  Oldboy  and my need to own you !  !  !  !  !    Damn you Ebay.. damn you straight to hell. ' , disgust
' nasty, disgusting, dirty, slutty little fuckin bitch. you make me fuckin sick, i want to puke everywhere right now ' , disgust
' Teen Assaulted On Videotape   The most outrageous thing I read in this whole article is the following:    \' An assistant principal cautioned the girl \' s father against calling 911 to avoid media attention, the statements said. \'    Jumping Judas Priest... ' , disgust
' How bad are things going to have to get for people to do something in this country? !   I \' m so sick to my stomach; I think I \' m going to throw up. ' , disgust
' TWO NIGHTS IN A ROW OVER 2000 calories !   It makes me want to throw up.  Where is my self-control?  What is happening to me?  Augh augh augh.   It can not happen again. ' , disgust
' Nevermind  I told you and myself that I wouldn \' t care if we started being friends again so I won \' t let this happen.  I just want out of this little mess I \' ve been brought into. ' , disgust
' You know I could run for governor but I \' m basically a media creation. I \' ve never done anything. I \' ve worked for my dad. I worked in the oil business. But that \' s not the kind of profile you have to have to get elected to public office. -- Dubya in 1989  Think that one is disturbing?   More   here. ' , disgust
' President Bush said last night that he \' s ready to send more troops to Iraq.  That worries me. As far as I know the United States is not at war with my apartment either.  Should I expect to be quartering soldiers soon? ' , disgust
' Emails, emails.  I love getting emails.  Not the weird spammy ones mind you.  Not the weird surveys either.  Or forwards.  Just a good old email from someone out of the blue, just to let you know they \' re thinking of you :)  And oh God.  I rhymed.  Please kill me.  *jumps out window* KSssssssssh ! ' , disgust
' i found out about this jewel of a website over the weekend. this is the kind of terrible bullshit that over-zealous, heartless, religious assholes bring to our world. ' , disgust
' this is me experiencing a level of self-loathing i never anticipated Ever.  thank you all for being here to celebrate this momentus occasion. ' , disgust
' You guys ever had your pile of dirty dishes and sundry rot? It \' s fucking disgusting I tell you.   \' Nuff said. ' , disgust
' Is there ever any good reason to leave a bag of shit in the trashcan in the bathroom of your apartment??   to quote Sarah Sebald  Come on now !   Who does that !   Seriously, WHO did that? Cause if you live with us and you did this, you have serious problems. And if you dont live with us and you thought this was funny, you were wrong and you have serious problems.  WHO DOES THAT !  ! ' , disgust
' You \' re a year older, but no different than you were last year and none the wiser. I hope you get your wish, I tire of watching your pitiful existence and it would suitably rid everyone of you. ' , disgust
' http://www.lex18.com/Global/story.a sp?S=2989614&nav=EQlpWjof   This is bullshit.  And censorship.  And a violation of the bill of rights. And a goddamn abomination.  Somebody get together a petition or contact some senators or something, because this kind of thing can NOT be allowed to stand.  This link was posted previously by Liz and Megan. ' , disgust
' im on this name real quick @ school to tell everyone that i will be deleting this journal very soon...or at least making it private. so if you havent already (some of you have been asking me where i am on LJ, i guess some people didnt see my last post), add me @ my new username:       queen_of_pain   . k..bye bye !    xox alina ' , disgust
' We \' re off to kill the world, this wonderful world of ours.  ISLAMABAD/WASHINGTON (Reuters) - The United States and its allies stepped up plans for an expected strike on Afghanistan \' s Taliban on Thursday as Pakistan said it was satisfied with the evidence linking Osama bin Laden to attacks on the World Trade Center and Pentagon ' , disgust
' So steven and I went to the OutBack for dinner... the off to Aviators Landing for the dance. We got there and Nick Quincy and Haley Gibson were there and we ended up staying with them for most of the dance. Almost everyone there was drunk....or had been drinking... it was PATHETIC !  !  I mean come on there are better things to do then drink something out of a glass bottle or aluminum can ! ' , disgust
' I dont know what to think about anything anymore.   All i know is that I am glad John was with me at follies and watching Anthony play drums makes me smile and the fact that John likes Kathleen makes me happy and Teeny is my favorite rock star and I love Margeret Doucet alot.  Ew..two rows behind you. ' , disgust
' I don \' t know why I ever bother. Christmas was the usual jubilant holiday - a day of loneliness and disappointment. I learn slowly. ' , disgust
' Last night I got a box of Bertie Botts \'  Every Flavour Beans.  I feel it \' s my responsibility to warn you all: it is certainly an experience.  The vomit, soap, and sardine flavours are way too accurate to be enjoyable.  The rest weren \' t very good either.  Horrible, yet oddly enjoyable.  Easily worth $5 a box.  But consider yourself warned, if you haven \' t tried them already. ' , disgust
' Current Annoyance/Hatred: my sister Current Thought:  \' I \' m going to move. I don \' t care where. \'  - Seriously considering moving in with Jay...of my own free will. I can \' t take one more day living with my sister. I just want to leave. ' , disgust
' I, personally, would not hit it. Too bad for some grade school kids.   ThE BeRm 8054: EEEEWWWWW ThE BeRm 8054: who would fuck that ThE BeRm 8054: thats so grosss Higuy48: indeed ThE BeRm 8054: shes nasty ThE BeRm 8054: i wouldnt fuck her with my eyes closed ' , disgust
' An important American building blew up.  Harry Potter isn \' t overly concerned.  Brilliant.  What a leader in the making, with such a winning attitude and cunning mind.  In the meantime, I \' ve discovered that disco is dead for a reason.  On that note, most everything is dead for a reason.    I think I \' ll try to find a place to be alone with my thoughts, as they are a precious commodity around here. ' , disgust
' Tom DeLay SICKENS me.   http://aolsvc.news.aol.com/news/art icle.adp?id=20050410123309990002&ncid=NWS00010000000001 ' , disgust
' http://www.gaiaonline.com/forum/viewtop ic.php?t=5842780    When I first spotted this particular thread I was in absolute shock. Now I \' m just utterly disgusted that someone would downgrade our horrific loss that day to mere statistics !    I guess some people will never truly understand the impact of that day. ' , disgust
' Terri Schiavo is dead, and  hospice demonstrators seem to know what \' s in God \' s heart .     \' It grieves my heart to know that God \' s heart is grieving. God \' s desire \' s never to have death happen unjustly, \'  Bashta said.  The morally and religiously righteous make me nauseous. ' , disgust
' Geo is a horrible monster and I pray for his death.  geox777: why dont you toss the _____salad KingNuthing64: lmfao....fuck you  We \' ll let you fill in the blank.  Although you \' d rather not, believe me. ' , disgust
' Sara, don \' t read the message boards on imdb.com.  Not only are they full of annoying people but if you don \' t read them, you won \' t be told about things like potential remakes of  The Wicker Man  and thus can safeliy ignore their existance until they \' re actually in theaters.    Especially if said remake includes potentially moving the action to Maine.  What the  frell ? ' , disgust
' I finally in the last month set up an Ebay account,  and just now set up a paypay account.  Damn you  Oldboy  and my need to own you !  !  !  !  !    Damn you Ebay.. damn you straight to hell. ' , disgust
' i think the moffatts treated their fans really shitty. it was probably the drugs. idiots. i am losing so much respect for them the more i read about them.  ugh.     doesnt mean i dont want you to buy me the  hidell album  and  the moffatt dvd    the boston post cd doesnt even exist anywhere either. supposedly fans that ordered them didnt even recieve them.  the moffatts are so fucking lame. ' , disgust
' Today was a mighty productive day... I learned two things...  1)I spend way too much money on the day that I get my pay cheque.  2)I am fat.  Shit.  Night. ' , disgust
' You know, it amazes me how sick people can be.  Tonight at work a child was flashed by a man in our restroom.  I don&#8217;t think I can really go into detail as to what all took place & what&#8217;s being done about it, but why the fuck would someone do something like that? !   UGH !  !  ! ' , disgust
' It \' s time to snap out of this.  It \' s time to pull things together.  This is ridiculous.  I \' m going nowhere.  I \' m doing nothing. ' , disgust
' You know, it amazes me how sick people can be.  Tonight at work a child was flashed by a man in our restroom.  I don&#8217;t think I can really go into detail as to what all took place & what&#8217;s being done about it, but why the fuck would someone do something like that? !   UGH !  !  ! ' , disgust
' TAMPA, Fla. ( AP ) - The medical examiner completed the autopsy of Terri Schiavo on Friday, clearing the way for the release of the body to her husband, who plans to cremate her remains and bury the ashes without telling his in-laws when or where.   What an ass.  That serves no purpose except to extend the grief and suffering of Terri \' s parents. ' , disgust
' Oh NBC, how could you? Clay Aiken Christmas?  The funniest part, I guess, is that Clay Aiken became  \' famous \'  on FOX and now his lame Christmas special is on NBC. I guess FOX couldn \' t pony up the cash for him? Or maybe FOX realized how much he sucks?  It wouldn \' t be so bad if they hadn \' t defaced West Wing by putting this lame special right before it.  I really loathe most TV these days. ' , disgust
' I finally in the last month set up an Ebay account,  and just now set up a paypay account.  Damn you  Oldboy  and my need to own you !  !  !  !  !    Damn you Ebay.. damn you straight to hell. ' , disgust
' I just made a very scary phone call to a scary goverment department about work experiance. I am now scared but I have work experiance. ' , fear
' Please tell me that this isn \' t happening. Please, please please. Why is it always Malfoy? If this is some sort of joke, it \' s not funny. What the hell was Sirius thinking? !  I know he \' s restless but... but I would have taken him for a walk !   HE NAMED HIM RICO !  I hope he pees on the git. And his shoes.  Fuck. I need to get him back. Before they figure it out. ' , fear
' It \' s all screwed up now. Just a matter of deciding which crumbs to save, and which to sacrifice. It \' ll never be fresh again until it has been ground into shit, recycled by nature, and then processed all over. ' , fear
' Updater:  Spiderplant.  Spidey no like bad dream. Are very bad.   No think no one should have bad dream.   Bad dream should no exist. ' , fear
' I just heard... just heard on the WWN of a  \' strange accident under investigation \'  in Hyde Park; heard the people out on the curb whispering about  \' You Know Who \' ...  ...watched the clock tick past twelve thirty with no sign of my idiot brother.  Hurry home, Freddy.  Oh gods.  Oh Merlin.  Please, Freddy be safe... ' , fear
' Here comes Friday... Work here till Wednesday then have to find a real job Then have to found a new place to live, buy furnitures and all the shit Energy drain incoming I should have do something since at least one month but canâ€™t be convinced to move after a day of work So NOW itâ€™s time to move my ass Hope Iâ€™ll find something good... Iâ€™m scary rhaaaaaaaaaaaaaaaaaaaaaaaaaaa ' , fear
' Today I read       hello_kitti    \' s journal and I \' ve been afraid of the murderous bunny with a long knife since then. May the Maker purge the world of these uncute abominations !  !  !  *Maf ! * ' , fear
' I \' ve been going through the list of people who have me favorited on FF.net.  About half of them I know personally, and the other half... are freakin \'  scary... o_O  Dare I ask why I have homophobes, Sailor Moon buffs, and self-described  \' aussie beach bums \'  favoriting me?  And why, WHY must they all have such awful grammar? ! ' , fear
' Holy crap !        goldrose    held up this thing she said was a mee-rur or something and I saw another cat inside !  And it looked like me !  And it copied everything I did, that bastard !  I am so scared now !  !  !  What if it gets out of the mee-rur and eats me? OMFG !  !  !  !  ! ' , fear
' I \' ve had this weird mix of scared and happy going on lately.  It \' s probably happiness in spite of things.  Nice to think how much better it would be if said things were taken care of.   *dreams* ' , fear
' IT \' S DONE.  IT \' S COMPLETE.  THE NUMBERS ALL TIE OUT.  I CANNOT SEE HOW THERE CAN POSSIBLY BE ANYTHING ELSE WRONG WITH IT.     IT \' S DONE !  IT \' S DONE !  IT \' S DONE !        ...now I get to start on the next terribly complicated report, which was supposed to be due two days ago.  *whimpers* ' , fear
' AAAAAAAAAAAAGGGGGGGGGGHHHHHHHHHHHH !  !  !     http://www.superlaugh.com/1/bushgirl.ht m   MY EYES !   SOMEONE GET ME A POKING STICK ! ' , fear
' there are so many people here !  daddy matt and daddy george are having some sort of function that requires all of the world to be here !   i can \' t deal with this kind of pressure !   must hide !   must hide !   aaaaaaaaagggggghhhhh ! ' , fear
' so, josh was all,  \' watch  28 days later  with me !  \'   and i said,  \' i heard it was bad. \'   and he said,  \' no, i saw it, it was good. it \' s a fun zombie movie. \'   i \' m sorry but there was neither fun nor zombies anywhere in that movie and i made him turn it off a little more then halfway into it. it was so disturbing, i couldn \' t handle it. ' , fear
' * flees  helter-skelter regardless of walls and other such minor inconveniences (to the living)*  THEEEEOOOODEEEEENNNNN !  !  ! ' , fear
' *watches big black clouds approaching*  *hear HUGE clap of Thunder*  O_O  *hides*  I \' m such a coward !  *wibbles* ' , fear
' There \' s been another earthquake in Indonesea, North Sumatra, 8.5 on the Richta scale.  It \' s not known yet if another Tsunami has been triggered, I pray not.  *prays for everyone out there* ' , fear
' Well, shit.  I couldn \' t sleep so I thought it was a good idea to go on amazon and update my wishlist. AHAHAHHAHA. I have now about TWO DOLLARS left on my account.   If mom ever finds out, she will kill me and brick me up in a wall. If you guys don \' t hear from me for more than two weeks, CALL THE COPS OMG.  Ineedahobbie. ' , fear
' a friend of mine is in the hospital dying, another is in after an operation... another has lost her place to live two have fallen off the face of the earth...  i \' m loosing those i care for.  Holes in the net of my world...  do you pray?  Pray for them, please?  i \' m worried enough to do a meme... ' , fear
' Two more days.   Can it really be so soon? It doesn \' t seem so long ago that it was the last one - I still haven \' t managed to forget the feeling. Bones shifting, flesh changing...I can \' t stand it.   Why me? I can \' t stand to complain, but really.   Why me?   What did I ever do? ' , fear
' *gibbers*   She  \' ll find out it was me. She always finds out. Then I \' m a dead man. Oh yes. WHAT WAS I THINKING ! ? Beware of Numenoreans bearing job offers, no matter how ticked-off you are with your sibling. Especially if said sibling is a dab-hand with a machete.   How much does a ticket to Eressea cost these days? :S ' , fear
' I am NOT an ACTor.  I DO NOT like THIS.  THESE ears ITCH and THERE are PEOple, so MANy PEOple.  I reaLLY NEED the COMfort of MY comPUTER studIo, aLONE, aLONE.  MUMmy. ' , fear
' I just fried my only other power supply. It went :  FLASH !   \' BUZZAP !  !  \'   No smoke trickled from the casing, but it smells of burnt plastic. My face was half a foot away when the whole thing went bang. I think I \' ll go eat some brownies now.... ' , fear
' But a woman dressed up as Ronald McDonald is up there at one of the messed-up images I \' ve ever seen.   http://www.livejournal.com/users/miss_m cdonald/ ' , fear
' Keilis-Borok \' s team now predicts an earthquake of at least magnitude 6.4 by Sept. 5, 2004, in a region that includes the southeastern portion of the Mojave Desert, and an area south of it.  I love you guys....... ' , fear
' It would seem that i really DO need to go in for testing.  I can \' t get up stairs without help. My kneecaps seem to get a dull yet strong pain when I attempt to  \' climb \'  anything.  Then theres the part where I can \' t seem to get them to move at all....  ...heres hoping this condition I might have... slows down some time soon.  Or I will be in a wheelchair by 25 years of age. ' , fear
' Howard Dean Chosen to Lead Democratic Party  He will be consulted by Ivan the Terrible, Atilla the Hun, Idi Amin, Adolf Hitler, Nicolas Ceausescu, King Leopold  and Pol Pot.   Time take follwup with my 2nd Amendment right.. cause THIS is just plain scary . ' , fear
' I dunno about you, but just the sheer idea of what \' s discussed at this site scares me like crazy (If you wanna know what it \' s about without going to the site, just look at the words after the # sign):   http://www.wonkette.com/politics/dc/inde x.php#jeb-bushs-chances-in-2008-036170 ' , fear
' What Sexual Time Of Day Are You?     brought to you by  Quizilla    I wrote this super great quiz...so you should take it..i think it \' s pretty cool...nessa scared me with stories about  \' The Ring \'  so now I know that I shouldn \' t see it because it would totally freak me out...i don \' t do scary movies well...well, anyway...g \' nite to all happy rest of your weekend... ' , fear
' Well... thatâ€™s that. At least the fucking waiting is over.   Iâ€™m not sure Iâ€™ve ever dreaded the news owl that much.    Must sharpen my dagger. Must sleep with it under my pillow...   Actually, best not to sleep for a few days. ' , fear
' Well, I went and got myself injured. No ones fault, just a physical malfunction...stupid body. I need an upgrade !  Went to the doctor, and he is sending me to a specialist at 4:30 tomorrow. Nothing life threating, but it screws over my plans for the holidays. I will more than likely have surgery soon, possibly tomorrow afternoon. I \' m scared as hell... ' , fear
' has any one Seen Conrad/ Brit man/ Databeast !  !    I Came home from nether world early last night and conrad went out to benders with Mar \' s roomate for anouther drink   he was saposed to walk home but he isn \' t here ' , fear
' I went and applied for a higher paying job with more hours. I sit quivering in fear of change wondering how this is gonna work out.  I realy have a hard time dealing with change. If I get on , it will mean less time online but more money for like oh .....DSL? X-mas gifts? trips to visit friends? house repairs, bills, Dragon Wagon upgrades, etc. ' , fear
' And now, it \' s time for...     Filled with such hate, she sleeps with tongue brandished and open eyes to see the reaction from aformentioned hate.     When approached, she moves in with incredible hateful speed !  She \' s a living hate-filled blur ! ' , fear
' He might have lung cancer.  It \' s just a rumor...but it makes sense.  *is very depressed and that \' s just the beginning of things* ' , fear
' I was going to post another bullshit meme, but I \' m going to post this instead.  It \' s fucking TERRIFYING.   Florida really is the asshole of America.         maryjanedoe   , get the fuck out of that shitehole.        meatbtmanifesto   , promise me you \' ll never go back. ' , fear
' Sorry about the image quality. I would have backed up, but my arm only reaches that far.    This is the container for a small product information leaflet for a prescription drug. And yes, that is actual size.       Bonus points to the first to finish the quote in the title. ' , fear
' Where is       bloodlikewine    when we need him? !  Ever other time he \' d be here in the middle of the chaos. Tonight, when Anna is about one breath away from killing Star (a breath she doesn \' t have to have, I remind you), he \' s nowhere to be found.  Star, tell Anna her hair does not look like yours and that it does NOT LOOK LIKE A POODLE !   I don \' t know how long I can hold her. Dwayne !  Help ! ' , fear
' I have a hair-based make-over appointment in an hour and a half, in honor of my birthday.  Say good-bye to the old Bob, say hello to the new Bob, assuming, of course, that my eyebrows control my entire personality.  I \' m hoping against it, but, hey, never know. ' , fear
' OMG,       crowdie   &nbsp; has updated his journal several times in the last few days.&nbsp; I \' m getting worried. ' , fear
' Unexplained muscle pain and weakness could be a sign of a rare but serious side effect and should be reported to your doctor right away.  i \' m scared and i think i \' m gonna die. jay gets my guitars. brett can have first pick of my cd \' s. everyone else can fight to the death over everything else. but it has to be in a pool full of pudding. ' , fear
' I am fucking terrified.  I leave on a plane tomorrow at about one thirty.  I fly all the fuck to Seattle !  !   I \' m flying United !  !   I feel so dreadful about this.  Plus, the ativan I took last night was barely even strong at all.  I \' m going to have to take two for the flight.  I have my ativan and I have my Kelly, but that doesn \' t matter if the  plane crashes !    I am hyperventillating (SP? ! ? ! ). ' , fear
' So i just read that Sam Rami is talking to new line cinema about the use of Ash from the Evil Dead series in a new movie.  It seems that they are planning on making Freddy vs. Jason vs. Ash.  I don \' t know if Bruce Campbell would play the part or not.  Seriously, what day exactly did Hollywood run out of ideas? ' , fear
' OMG !  I have a reason...not a good reason, but it \' s a reason !  !  !  to wake up on Saturday mornings again !  OMG !  !  NOOOOOO  Well as some of you may know, Tokyo Mew Mew or well Mew mew power as it \' s called now started airing and well instead of a preview it looks like it \' s here to stay !  OMG SAVE USSSS !  !  !  LOL ya...I can \' t believe it \' s finally here, dubbed and on tv..omg WHAT HAVE THEY DONE !  !  ! ' , fear
' Fuck you for existing in the first place.  Moving back to the dorms. Bloody exciting.   Pierced nose. HOT. And I do mean hot. ' , fear
' this page gets its bandwith exceeded at the drop of a hat, so you may have to try multiple times... hey, it \' s geoshitties, whaddaya  \' spect?   http://www.geocities.com/christianfemdo m/parlor.html   the horror...     Do not fall prey to the false belief that mastery and domination are synonymous with manliness.     - Kent Nerburn ' , fear
' I found this in the fridge.     No idea what vegetabe this is.. dunno how to cook it. Anyone have an idea?  Don \' t think its Celery-cabbage. I have one of that in the fridge too. This is more  \' fluffy \'  than that. ' , fear
' It is a dark, dark day in the world of man.     http://www.cnn.com/2004/SHOWBIZ/TV/01/1 9/apontv.boohbah.ap/ ' , fear
' LOOK OUT !    Ã¯Ã²Ã°      fumbled_dreams is a radioactive squirrel !  !      Username:     From  Go-Quiz.com   what... what is wrong with this picture? ! ? !   I KNEW THEY WERE EVIL !  !  I HATE THOSE GADDAMNED SQUIRRELS !  !  ! ' , fear
' I have to prepare myself for a discussion we have to make tomorrow in the english lesson about Discrimination... and I \' m really thrilled... I \' m trying to look for something.. but what could I say?? Hope it \' ll be all right... ' , fear
' The Office NBC version kind of makes me cry. Everyone is thinner and less funny and they are using exact scripts and god.  Stop ruining one of my favorite things America. ' , fear
' This Spring weather that I was so joyously basking in has taken on a slightly sinister tone. It suddenly struck me this morning that Spring rebirth is a harbinger of Change. And I don \' t know if I \' m ready for this Change that is coming. Each tiny leaf bud harbors doom. And there \' s nothing I can do about it.  And just so you know, Sugarfree Red Bull = Gross. ' , fear
' http://www.apple.com/trailers/dreamwork s/the_ring_two/trailer/   NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOO OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOO !  !  ! ' , fear
' Damn it all. I \' m in such a mess. At worst, I \' m about to get suspended; at best, detention. I \' m scared as hell and I don \' t know what to think anymore. Fuck...     To my calm side; my other: Save me...please Drive me far away from here Hold me and don \' t let go Protect me That \' s all I \' ve ever wanted from you That \' s all I really need ' , fear
' Final Fantasy Child by ChaoticSoul      Your Name           Your Mother    Yuffie      Your Father    Wakka      Looks from...    Mother      Attitude from...    Mother      Weapon from...    Father               Quiz created with MemeGen   !        o.O Should I be scared? ' , fear
' Mental note: Do not drive to friendly but krowded klub, sober without closeclose friends ever ever again.  Haha reminds me of Bernard Black quote:  \' I didn \' t like the party. The drinks were few and the people many. \'  xxx ' , fear
' I just got pulled over for the first time EVER.  No ticket, just a warning   BUT STILL, I feel like BLAH !    *cries* ' , fear
' Following up on  yesterday \' s post , have a look at Games Workshop \' s  six-month share price chart .  Ow. ' , fear
' I had this terrible horrible no good very bad dream last night that I was back in Alabama. I kept crying and wanting to come home but for some reason I had to stay there, and I was totally freaked out until I woke up.   ICK.  Speaking of ICKS, one down, (well, almost) one to go.  ::::Cackles evilly:::: ' , fear
' Someone get me off this emotional roller coaster. I don \' t want to think about scary things like mono and other unmentionables. I hope this is all just because I messed up in taking my medicine. Stupid tour.    I can \' t stop shaking... ' , fear
' Must...not...watch...court tv...  must...not...read...true crime stories....   I \' m just about  the  most pacifistic person there is, but I have a macabre interest in this all...   I \' m not gonna be able to sleep tonight.... ' , fear
' 1.)&lt;*font color= \' yourusername \' &gt; &lt;*b&gt;yourusername&lt;*/b&gt;&lt;*/font&gt; 2.) Eliminate the asterisks. 3.) Replace  \' yourusername \'  with your user name. 4.) See what color you are.      xschizyx    I \' m scared for her life. ' , fear
' I \' m dead.  Dead dead DEAD.  Five OWLS?  Five ?  Oh shit. Oh shit. Oh SHIT !  My ass is grass.  Maybe I can move to Thailand. ' , fear
